Date,Product,Quantity,Revenue,Profit
2025-10-16,Phone Case,1,832,395
2025-10-17,Phone Case,1,1250,430
2025-10-18,Phone Case,1,914,330
2025-10-22,Phone Case,1,1042,224
2025-10-24,Phone Case,1,1131,254
2025-10-25,Phone Case,1,864,262
2025-10-26,Phone Case,2,2270,780
2025-10-27,Phone Case,1,907,417
2025-10-28,Phone Case,1,920,379
2025-10-31,Phone Case,1,911,444
2025-11-02,Phone Case,1,800,360
2025-11-03,Phone Case,1,911,513
2025-11-06,Phone Case,1,922,370
2025-11-07,Phone Case,2,2458,771
2025-11-09,Phone Case,1,1436,462
2025-11-10,Phone Case,1,1119,384
2025-11-11,Phone Case,1,848,249
2025-11-12,Phone Case,1,1050,360
2025-11-15,Phone Case,2,2050,960
2025-11-25,Phone Case,1,933,452
2025-11-26,Phone Case,1,1150,460
2025-11-27,Phone Case,1,1000,310
2025-11-28,Phone Case,1,829,381
2025-11-29,Phone Case,2,2121,944
2025-11-30,Phone Case,1,1095,439
2025-12-01,Phone Case,1,874,347
2025-12-02,Phone Case,1,800,360
2025-12-05,Phone Case,2,1933,990
2025-12-06,Phone Case,1,833,279
2025-12-10,Phone Case,1,1134,394
2025-12-12,Phone Case,1,1061,321
2025-12-20,Phone Case,2,2609,918
2025-12-21,Phone Case,1,600,434
2025-12-22,Phone Case,1,784,451
2025-12-23,Phone Case,1,970,398
2025-12-24,Phone Case,1,882,428
2025-12-26,Phone Case,1,1020,330
2025-12-27,Phone Case,1,879,332
2026-01-01,Phone Case,2,2386,996
2026-01-02,Phone Case,2,2154,935
2026-01-04,Phone Case,2,2582,903
2026-01-08,Phone Case,2,2115,855
2026-01-11,Phone Case,1,1202,348
2026-01-12,Phone Case,2,2274,864
2026-01-13,Phone Case,1,943,349
2026-01-17,Phone Case,1,979,402
2026-01-23,Phone Case,1,858,479
2026-01-27,Phone Case,2,1841,884
2026-01-29,Phone Case,1,1020,338
2026-02-02,Phone Case,2,2331,960
2026-02-03,Phone Case,1,975,394
2026-02-05,Phone Case,1,1057,370
2026-02-06,Phone Case,2,2329,919
2026-02-08,Phone Case,1,1182,428
2026-02-09,Phone Case,1,1050,316
2026-02-10,Phone Case,1,1032,277
2026-02-11,Phone Case,1,880,477
2026-02-12,Phone Case,1,820,421
2026-02-13,Phone Case,2,2500,920
2026-02-14,Phone Case,1,888,284
2026-02-16,Phone Case,1,1096,539
2026-02-17,Phone Case,1,928,442
2026-02-18,Phone Case,1,1020,332
2026-02-19,Phone Case,1,870,382
2026-02-20,Phone Case,1,866,308
2026-02-22,Phone Case,1,1006,343
2026-02-23,Phone Case,1,840,407
2026-02-26,Phone Case,1,1101,358
2026-02-28,Phone Case,1,883,346
2026-03-01,Phone Case,1,786,368
2026-03-02,Phone Case,1,838,408
2026-03-03,Phone Case,2,2193,939
2026-03-04,Phone Case,1,1250,510
2026-03-06,Phone Case,1,1040,471
2026-03-09,Phone Case,1,954,355
2026-03-10,Phone Case,2,2064,838
2026-03-11,Phone Case,1,1031,400
2026-03-13,Phone Case,1,1040,309
2026-03-14,Phone Case,2,2286,778
2026-03-15,Phone Case,2,2469,987
2026-03-16,Phone Case,1,791,299
2026-03-17,Phone Case,2,2341,910
2026-03-18,Phone Case,2,2389,1250
2026-03-20,Phone Case,2,2572,980
2026-03-23,Phone Case,2,2202,958
2026-03-29,Phone Case,1,1030,305
2026-03-31,Phone Case,1,1364,227
