Date,Product,Quantity,Revenue,Profit,Source
2025-10-16,Phone Case,1,832.0,395.0,Synthetic
2025-10-17,Phone Case,1,1250.0,430.0,Synthetic
2025-10-18,Phone Case,1,914.0,330.0,Synthetic
2025-10-22,Phone Case,1,1042.0,224.0,Synthetic
2025-10-24,Phone Case,1,1131.0,254.0,Synthetic
2025-10-25,Phone Case,1,864.0,262.0,Synthetic
2025-10-26,Phone Case,2,2270.0,780.0,Real
2025-10-27,Phone Case,1,907.0,417.0,Synthetic
2025-10-28,Phone Case,1,920.0,379.0,Synthetic
2025-10-31,Phone Case,1,911.0,444.0,Synthetic
2025-11-02,Phone Case,1,800.0,360.0,Real
2025-11-03,Phone Case,1,911.0,513.0,Synthetic
2025-11-06,Phone Case,1,922.0,370.0,Synthetic
2025-11-07,Phone Case,2,2458.0,771.0,Synthetic
2025-11-09,Phone Case,1,1436.0,462.0,Synthetic
2025-11-10,Phone Case,1,1119.0,384.0,Synthetic
2025-11-11,Phone Case,1,848.0,249.0,Synthetic
2025-11-12,Phone Case,1,1050.0,360.0,Real
2025-11-15,Phone Case,2,2050.0,960.0,Real
2025-11-25,Phone Case,1,933.0,452.0,Synthetic
2025-11-26,Phone Case,1,1150.0,460.0,Real
2025-11-27,Phone Case,1,1000.0,310.0,Real
2025-11-28,Phone Case,1,829.0,381.0,Synthetic
2025-11-29,Phone Case,2,2121.0,944.0,Synthetic
2025-11-30,Phone Case,1,1095.0,439.0,Synthetic
2025-12-01,Phone Case,1,874.0,347.0,Synthetic
2025-12-02,Phone Case,1,800.0,360.0,Real
2025-12-05,Phone Case,2,1933.0,990.0,Synthetic
2025-12-06,Phone Case,1,833.0,279.0,Synthetic
2025-12-10,Phone Case,1,1134.0,394.0,Synthetic
2025-12-12,Phone Case,1,1061.0,321.0,Synthetic
2025-12-20,Phone Case,2,2609.0,918.0,Synthetic
2025-12-21,Phone Case,1,600.0,434.0,Synthetic
2025-12-22,Phone Case,1,784.0,451.0,Synthetic
2025-12-23,Phone Case,1,970.0,398.0,Synthetic
2025-12-24,Phone Case,1,882.0,428.0,Synthetic
2025-12-26,Phone Case,1,1020.0,330.0,Real
2025-12-27,Phone Case,1,879.0,332.0,Synthetic
2026-01-01,Phone Case,2,2386.0,996.0,Synthetic
2026-01-02,Phone Case,2,2154.0,935.0,Synthetic
2026-01-04,Phone Case,2,2582.0,903.0,Synthetic
2026-01-05,ali lia jis 960 cover so 960 -400-250-40 = costing and profit,1,1927.41,589.29,
2026-01-05,ali lia jis 960 cover so 960 -400-250-40 = costing and profit,1,1927.41,589.29,
2026-01-08,Phone Case,2,2115.0,855.0,Synthetic
2026-01-11,Phone Case,1,1202.0,348.0,Synthetic
2026-01-12,Phone Case,2,2274.0,864.0,Synthetic
2026-01-13,Phone Case,1,943.0,349.0,Synthetic
2026-01-17,Phone Case,1,979.0,402.0,Synthetic
2026-01-23,Phone Case,1,858.0,479.0,Synthetic
2026-01-27,Phone Case,2,1841.0,884.0,Synthetic
2026-01-29,Phone Case,1,1020.0,338.0,Synthetic
2026-02-02,Phone Case,2,2331.0,960.0,Synthetic
2026-02-03,Phone Case,1,975.0,394.0,Synthetic
2026-02-05,Phone Case,1,1057.0,370.0,Synthetic
2026-02-06,Phone Case,2,2329.0,919.0,Synthetic
2026-02-08,Phone Case,1,1182.0,428.0,Synthetic
2026-02-09,Phone Case,1,1050.0,316.0,Synthetic
2026-02-10,Phone Case,1,1032.0,277.0,Synthetic
2026-02-11,Phone Case,1,880.0,477.0,Synthetic
2026-02-12,Phone Case,1,820.0,421.0,Synthetic
2026-02-13,Phone Case,2,2500.0,920.0,Real
2026-02-14,Phone Case,1,888.0,284.0,Synthetic
2026-02-16,Phone Case,1,1096.0,539.0,Synthetic
2026-02-17,Phone Case,1,928.0,442.0,Synthetic
2026-02-18,Phone Case,1,1020.0,332.0,Synthetic
2026-02-19,Phone Case,1,870.0,382.0,Synthetic
2026-02-20,Phone Case,1,866.0,308.0,Synthetic
2026-02-22,Phone Case,1,1006.0,343.0,Synthetic
2026-02-23,Phone Case,1,840.0,407.0,Synthetic
2026-02-26,Phone Case,1,1101.0,358.0,Synthetic
2026-02-28,Phone Case,1,883.0,346.0,Synthetic
2026-03-01,Phone Case,1,786.0,368.0,Synthetic
2026-03-02,Phone Case,1,838.0,408.0,Synthetic
2026-03-03,Phone Case,2,2193.0,939.0,Synthetic
2026-03-04,Phone Case,1,1250.0,510.0,Real
2026-03-06,Phone Case,1,1040.0,471.0,Synthetic
2026-03-09,Phone Case,1,954.0,355.0,Synthetic
2026-03-10,Phone Case,2,2064.0,838.0,Synthetic
2026-03-11,Phone Case,1,1031.0,400.0,Synthetic
2026-03-13,Phone Case,1,1040.0,309.0,Synthetic
2026-03-14,Phone Case,2,2286.0,778.0,Synthetic
2026-03-15,Phone Case,2,2469.0,987.0,Synthetic
2026-03-16,Phone Case,1,791.0,299.0,Synthetic
2026-03-17,Phone Case,2,2341.0,910.0,Synthetic
2026-03-18,Phone Case,2,2389.0,1250.0,Synthetic
2026-03-20,Phone Case,2,2572.0,980.0,Synthetic
2026-03-23,Phone Case,2,2202.0,958.0,Synthetic
2026-03-29,Phone Case,1,1030.0,305.0,Synthetic
2026-03-31,Phone Case,1,1364.0,227.0,Synthetic
2026-04-04,Phone Case,2,3200.0,1520.0,
2026-04-06,Phone Case,2,1550.0,440.0,
2026-04-07,Phone Case,1,4490.0,1290.0,
2026-04-07,Phone Case,2,6830.0,1840.0,
2026-04-08,Phone Case,2,5850.0,1270.0,
2026-04-09,Phone Case,2,6360.0,1810.0,
2026-04-09,Phone Case,2,2990.0,920.0,
2026-04-09,Phone Case,2,2760.0,620.0,
2026-04-09,Phone Case,1,790.0,250.0,
2026-04-12,Phone Case,3,11800.0,2230.0,
2026-04-12,Phone Case,1,3990.0,1140.0,
2026-04-15,Phone Case,2,3100.0,1010.0,
2026-04-15,Phone Case,1,3440.0,770.0,
2026-04-16,Phone Case,1,770.0,290.0,
2026-04-17,Phone Case,1,2570.0,810.0,
2026-04-18,Phone Case,1,4400.0,1110.0,
2026-04-18,Phone Case,1,1380.0,440.0,
2026-04-19,Phone Case,1,2520.0,630.0,
2026-04-21,Phone Case,3,2800.0,1030.0,
2026-04-21,Phone Case,1,3560.0,1130.0,
2026-04-26,Phone Case,2,1680.0,500.0,
2026-04-29,Phone Case,1,1590.0,470.0,
2026-04-30,Phone Case,1,2670.0,880.0,
2026-05-01,Phone Case,1,3470.0,1090.0,
2026-05-03,Phone Case,2,6300.0,1850.0,
2026-05-04,Phone Case,1,1330.0,310.0,
2026-05-04,Phone Case,2,2670.0,980.0,
2026-05-04,Phone Case,2,3000.0,700.0,
2026-05-04,Phone Case,1,2490.0,780.0,
2026-05-07,Phone Case,2,8090.0,2220.0,
2026-05-08,Phone Case,1,940.0,310.0,
2026-05-10,Phone Case,1,3090.0,1010.0,
2026-05-10,Phone Case,1,3020.0,750.0,
2026-05-10,Phone Case,2,5760.0,1570.0,
2026-05-11,Phone Case,2,1540.0,560.0,
2026-05-11,Phone Case,1,1510.0,510.0,
2026-05-11,Phone Case,2,1860.0,510.0,
2026-05-11,Phone Case,2,6310.0,1280.0,
2026-05-13,Phone Case,2,7610.0,2490.0,
2026-05-13,Phone Case,1,3730.0,1000.0,
2026-05-13,Phone Case,1,3450.0,1110.0,
2026-05-14,Phone Case,1,4660.0,1060.0,
2026-05-16,Phone Case,2,5270.0,2050.0,
2026-05-16,Phone Case,1,1290.0,370.0,
2026-05-17,Phone Case,3,13780.0,4130.0,
2026-05-18,Phone Case,3,13790.0,3630.0,
2026-05-20,Phone Case,1,3410.0,1020.0,
2026-05-20,Phone Case,1,2890.0,900.0,
2026-05-21,Phone Case,1,940.0,270.0,
2026-05-22,Phone Case,1,1570.0,380.0,
2026-05-28,Phone Case,1,2870.0,1090.0,
2026-05-28,Phone Case,1,1380.0,480.0,
2026-05-29,Phone Case,3,2550.0,700.0,
2026-05-30,Phone Case,1,3930.0,790.0,
2026-05-31,Phone Case,2,2640.0,790.0,
2026-06-01,Phone Case,2,8560.0,1810.0,
2026-06-02,Phone Case,2,8830.0,2630.0,
2026-06-02,Phone Case,1,3820.0,1250.0,
2026-06-03,Phone Case,1,1380.0,410.0,
2026-06-03,Phone Case,2,7100.0,1730.0,
2026-06-03,Phone Case,3,11160.0,3000.0,
2026-06-05,Phone Case,2,2630.0,640.0,
2026-06-06,Phone Case,1,3110.0,1030.0,
2026-06-07,Phone Case,3,4670.0,1380.0,
2026-06-07,Phone Case,2,4950.0,1230.0,
2026-06-08,Phone Case,2,1820.0,530.0,
2026-06-09,Phone Case,2,5480.0,1610.0,
2026-06-09,Phone Case,2,1740.0,690.0,
2026-06-09,Phone Case,1,4350.0,1390.0,
2026-06-10,Phone Case,1,800.0,230.0,
2026-06-10,Phone Case,2,9040.0,1780.0,
2026-06-11,Phone Case,1,4300.0,870.0,
2026-06-11,Phone Case,2,2770.0,670.0,
2026-06-12,Phone Case,3,11590.0,2610.0,
2026-06-14,Phone Case,1,2900.0,590.0,
2026-06-15,Phone Case,2,6680.0,1730.0,
2026-06-15,Phone Case,1,4200.0,1340.0,
2026-06-15,Phone Case,1,2580.0,620.0,
2026-06-16,Phone Case,3,7480.0,1950.0,
2026-06-18,Phone Case,1,3750.0,900.0,
2026-06-18,Phone Case,1,3950.0,1070.0,
